team,date,elo_(k=32)_rating,elo_(k=32)_avg_7d,elo_(k=32)_δ7d,elo_(k=32)_avg_30d,elo_(k=32)_δ30d,elo_(k=64)_rating,elo_(k=64)_avg_7d,elo_(k=64)_δ7d,elo_(k=64)_avg_30d,elo_(k=64)_δ30d,glicko_1_rating,glicko_1_μ,glicko_1_σ,glicko_1_δrat.7d,glicko_2_rating,glicko_2_μ,glicko_2_σ,glicko_2_δrat.7d
OG,15-7-2022,1145.78,1149.35,-7.19,1151.75,+17.49,1267.11,1273.66,-13.18,1282.74,+7.32,1921.61,2134.13,85.01,-85.63,1956.03,2076.13,48.04,-2.95
Tundra Esports,15-7-2022,1158.21,1168.92,+8.54,1124.08,+46.70,1236.96,1259.57,+13.36,1177.67,+85.27,2007.23,2209.32,80.84,+27.24,1950.72,2068.25,47.01,-2.96
PSG.LGD,15-7-2022,1187.48,1161.15,+43.06,1152.81,+67.27,1295.43,1230.64,+103.44,1213.00,+137.56,1803.70,2124.61,128.36,-69.95,1942.89,2075.11,52.89,-2.73
Team Aster,15-7-2022,1093.18,1100.74,+2.80,1090.68,+17.34,1121.69,1145.63,-5.66,1130.15,+3.34,1941.14,2254.68,125.42,-72.07,1912.46,2036.00,49.41,-2.87
Royal Never Give Up,15-7-2022,1093.16,1061.40,+70.73,1065.09,-12.01,1175.19,1091.49,+198.37,1066.02,+45.09,1948.97,2251.20,120.89,-75.64,1903.34,2028.39,50.02,-2.75
Team Spirit,15-7-2022,1163.89,1167.91,-8.09,1139.33,+29.47,1253.43,1259.64,-12.51,1196.55,+78.79,1827.38,2059.54,92.87,+27.48,1901.71,2033.59,52.76,-2.63
Xtreme  Gaming,15-7-2022,1094.18,1110.32,-34.48,1118.86,-61.28,1107.70,1144.96,-80.37,1155.11,-118.54,1859.54,2164.25,121.88,-74.82,1895.11,2025.27,52.06,-2.66
TSM FTX,15-7-2022,1095.97,1098.32,-4.74,1111.99,-31.99,1122.12,1125.11,-6.03,1146.81,-46.04,1734.49,1960.46,90.39,+41.17,1872.50,1997.89,50.16,-2.73
Team Liquid,15-7-2022,1134.13,1102.28,+57.93,1091.61,+49.42,1258.95,1193.16,+121.73,1172.26,+82.88,2002.19,2197.10,77.97,+109.18,1856.60,1980.87,49.71,-2.88
BOOM Esports,15-7-2022,1118.90,1144.54,-21.00,1160.39,-61.08,1127.07,1181.00,-39.89,1205.84,-113.93,1816.48,2093.30,110.73,-85.43,1856.20,1978.15,48.78,-2.81
BetBoom Team,15-7-2022,1151.13,1154.83,-7.46,1146.53,-,1247.87,1253.94,-12.23,1249.76,-,1730.27,1945.77,86.20,+15.84,1837.35,2005.32,67.19,-2.04
Evil Geniuses,15-7-2022,1136.89,1140.24,-6.75,1138.84,-3.73,1204.28,1209.28,-10.08,1207.03,-15.20,1834.02,2070.40,94.55,+84.15,1831.90,1966.23,53.73,-2.57
Gaimin Gladiators,15-7-2022,1079.12,1095.69,-82.59,1108.14,-12.74,1085.57,1118.95,-176.08,1163.73,-46.51,1826.57,1978.72,60.86,+1.34,1831.64,1954.56,49.17,-2.80
INVICTUS GAMING,15-7-2022,1037.04,1037.95,-1.83,1029.20,+19.82,1049.49,1050.70,-2.44,1034.81,+34.25,1620.42,1963.01,137.04,-64.44,1829.86,1969.32,55.79,-2.52
Quincy Crew,15-7-2022,1050.54,1051.78,-2.49,1056.88,+2.35,1068.70,1070.39,-3.39,1075.66,+14.70,1793.18,2095.74,121.03,-97.52,1826.22,1974.49,59.31,-2.31
Team Secret,15-7-2022,1010.30,1010.55,-0.51,1013.91,+2.49,1017.13,1017.55,-0.85,1025.51,+5.24,1854.04,2079.61,90.23,+11.87,1823.68,1956.49,53.12,-2.65
Thunder Awaken,15-7-2022,1209.65,1214.79,-10.35,1219.75,+4.43,1295.18,1302.42,-14.57,1306.89,+12.37,1670.53,2015.10,137.83,-63.98,1823.32,1948.60,50.11,-2.78
Entity,15-7-2022,1092.37,1094.63,-4.56,1107.92,-68.24,1118.40,1121.30,-5.84,1138.69,-118.68,1836.46,2018.95,72.99,+38.34,1819.32,1949.68,52.14,-2.62
Vici Gaming,15-7-2022,1033.24,1034.05,-1.64,1018.75,+72.75,1090.05,1092.25,-4.44,1064.10,+147.31,1766.50,2002.26,94.31,-44.70,1817.75,1949.61,52.74,-2.65
Fnatic,15-7-2022,1125.44,1128.51,-6.19,1114.37,+54.88,1221.11,1226.53,-10.91,1196.48,+110.34,1816.90,2013.81,78.76,+40.59,1790.29,1918.71,51.37,-2.79
