match_id,account_id,kills,deaths,assists,last_hits,denies,gold_per_min,towers_killed,roshans_killed,teamfight_participation,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns
6154675285,184950344,6,7,9,235,6,481,0,1,0.53571427,0,1,1,0,32.251328
6154675285,94281932,8,5,13,340,20,633,0,0,0.75,3,2,11,0,66.96187
6154675285,136829091,4,4,9,32,3,294,0,0,0.4642857,19,3,6,0,0.0
6154675285,121404228,2,6,11,194,1,449,1,0,0.4642857,1,5,0,0,56.839275
6154675285,375507918,7,3,12,466,18,737,6,0,0.6785714,0,1,3,0,0.0
6154675285,41231571,0,9,12,138,6,299,0,0,0.48,1,0,3,0,57.34778
6154675285,12231202,9,5,11,362,4,541,1,0,0.8,0,1,25,0,99.74255
6154675285,412753955,12,3,6,576,3,737,3,2,0.72,0,1,7,1,58.074333
6154675285,18180970,4,7,12,268,1,460,0,0,0.6,4,9,2,0,30.771484
6154675285,94049589,0,4,14,111,7,299,0,0,0.56,16,12,4,0,19.400427
6154570036,41231571,3,4,12,329,6,513,0,0,0.71428573,0,3,2,0,15.173487
6154570036,12231202,9,4,5,327,11,493,2,0,0.6666667,1,4,11,1,77.86664
6154570036,412753955,7,4,9,454,17,653,3,1,0.7619048,0,1,3,0,16.506935
6154570036,18180970,2,9,14,27,0,279,1,0,0.7619048,3,1,3,0,127.26715
6154570036,94049589,0,9,12,85,4,278,0,0,0.52380955,15,6,5,0,0.0
6154570036,184950344,9,2,13,345,10,757,1,0,0.73333335,0,6,6,0,67.1944
6154570036,94281932,11,5,15,375,8,632,2,0,0.8333333,1,3,9,0,81.67344
6154570036,136829091,1,4,20,18,0,290,0,0,0.7,16,2,7,0,0.0
6154570036,121404228,1,7,16,84,3,295,0,1,0.56666666,5,5,8,0,27.659912
6154570036,375507918,8,3,14,593,8,799,8,0,0.73333335,0,3,3,0,58.553997
6154455603,41231571,3,0,13,171,5,455,1,0,0.6666667,0,2,1,0,30.367058
6154455603,12231202,11,0,7,233,3,617,0,0,0.75,2,2,11,0,44.255646
6154455603,412753955,5,1,10,285,8,655,7,1,0.625,0,0,3,0,0.0
6154455603,18180970,4,1,9,52,2,344,0,0,0.5416667,4,6,3,1,0.0
6154455603,94049589,1,2,8,31,3,267,0,0,0.375,9,5,2,0,0.0
6154455603,184950344,0,5,1,193,14,365,0,0,0.25,0,1,3,0,9.531006
6154455603,94281932,1,5,1,253,7,450,1,0,0.5,2,0,6,0,14.349487
6154455603,136829091,0,6,3,16,4,209,0,0,0.5,9,0,0,0,56.068916
6154455603,121404228,1,4,0,107,1,265,0,0,0.25,3,2,6,0,44.25918
6154455603,375507918,2,4,1,249,13,458,1,0,0.75,0,4,1,0,14.923544
6150376434,41231571,3,8,8,252,4,435,6,1,0.57894737,0,1,6,0,2.032837
6150376434,12231202,2,3,12,306,7,435,0,0,0.7368421,0,2,15,0,2.6986184
6150376434,412753955,8,4,9,365,4,557,0,0,0.8947368,1,0,7,0,0.0
6150376434,18180970,3,11,9,138,3,310,0,0,0.6315789,7,2,1,0,72.87758
6150376434,94049589,3,13,10,63,2,265,0,0,0.68421054,12,2,2,0,2.006836
6150376434,54580962,0,5,12,60,1,269,0,0,0.2820513,13,2,1,0,0.0
6150376434,86738694,16,1,12,464,11,848,8,2,0.71794873,0,4,3,0,0.0
6150376434,152962063,14,3,12,381,6,684,1,0,0.64102566,0,0,13,0,8.148682
6150376434,77490514,2,3,27,173,15,395,0,0,0.71794873,1,0,4,1,57.936577
6150376434,401792574,7,7,9,52,0,278,0,0,0.41025642,7,4,3,0,0.0
6150275324,54580962,2,6,9,44,7,258,0,0,0.52380955,13,6,2,1,41.387787
6150275324,86738694,5,5,10,286,2,495,1,0,0.71428573,1,2,10,0,10.16748
6150275324,152962063,4,5,3,325,20,499,0,0,0.33333334,0,0,2,0,0.0
6150275324,77490514,8,3,11,257,7,524,1,0,0.9047619,0,1,2,0,0.0
6150275324,401792574,2,7,8,29,0,259,0,0,0.47619048,3,5,5,0,39.142662
6150275324,41231571,5,4,9,143,0,398,0,0,0.53846157,0,1,1,0,48.97578
6150275324,12231202,7,2,11,291,16,578,3,1,0.6923077,1,3,11,0,0.0
6150275324,412753955,8,1,9,356,7,731,6,1,0.65384614,0,3,4,0,10.837017
6150275324,18180970,4,9,9,29,2,298,0,0,0.5,7,5,4,0,99.65334
6150275324,94049589,2,6,17,89,1,353,0,0,0.7307692,9,5,3,0,9.216528
6149140000,41231571,0,4,1,143,7,383,2,0,0.125,0,0,0,0,16.273193
6149140000,12231202,4,3,2,226,9,508,2,0,0.75,2,6,10,0,16.365627
6149140000,412753955,2,1,1,192,4,488,0,0,0.375,0,1,4,0,0.0
6149140000,18180970,1,9,1,53,0,236,0,0,0.25,2,2,1,0,31.597929
6149140000,94049589,0,8,4,20,2,214,0,0,0.5,9,1,0,0,18.485352
6149140000,292921272,11,3,9,132,16,561,4,0,0.8,0,0,2,0,11.410034
6149140000,153836240,2,3,12,168,2,488,0,0,0.56,1,3,8,0,5.2445307
6149140000,119631156,4,1,10,98,4,431,0,0,0.56,7,4,3,1,-0.043701172
6149140000,157989498,1,0,13,17,4,292,1,0,0.56,4,2,4,0,61.898754
6149140000,164685175,7,1,5,332,11,803,3,1,0.48,0,1,3,0,27.197632
6149030060,292921272,6,10,9,204,2,414,1,0,0.51724136,1,1,0,0,43.45513
6149030060,164685175,7,4,7,776,8,951,8,0,0.4827586,0,6,6,0,0.0
6149030060,119631156,0,14,16,54,4,292,0,0,0.55172414,17,5,11,0,73.72009
6149030060,157989498,2,10,13,104,5,325,1,0,0.51724136,4,2,3,0,54.003246
6149030060,153836240,14,8,6,479,5,662,0,2,0.6896552,1,1,12,1,19.548878
6149030060,41231571,10,8,12,224,5,462,1,0,0.47826087,0,2,3,0,38.12246
6149030060,12231202,10,3,16,504,5,697,3,0,0.5652174,1,2,10,0,27.076538
6149030060,412753955,18,1,20,545,9,814,4,0,0.82608694,0,1,10,0,0.0
6149030060,18180970,3,7,28,63,1,303,0,0,0.67391306,6,5,4,0,143.55045
6149030060,94049589,4,10,25,101,2,370,0,0,0.6086956,17,7,6,0,0.0
6148475456,898754153,10,7,11,475,18,727,5,1,0.525,1,2,4,0,0.0
6148475456,98887913,11,9,11,270,3,579,0,2,0.55,0,1,9,0,19.768011
6148475456,118134220,6,5,26,268,8,494,0,0,0.8,0,1,2,1,0.0
6148475456,157475523,13,5,21,116,3,444,2,0,0.85,5,3,4,0,39.727867
6148475456,111114687,0,14,23,72,1,336,1,0,0.575,16,0,7,0,13.403991
6148475456,41231571,14,8,13,180,5,448,1,0,0.675,0,0,3,0,0.0
6148475456,12231202,5,4,21,305,12,482,2,0,0.65,2,3,20,0,15.786934
6148475456,412753955,18,6,10,441,9,704,3,0,0.7,0,1,6,0,70.76694
6148475456,18180970,2,10,23,114,2,317,0,0,0.625,5,4,1,0,31.07251
6148475456,94049589,1,12,22,65,2,287,0,0,0.575,13,3,2,0,0.0
6148393500,898754153,12,2,8,351,11,815,7,0,0.6896552,0,6,7,0,2.508545
6148393500,98887913,4,4,7,257,4,588,1,0,0.37931034,2,4,6,0,37.51912
6148393500,118134220,7,3,19,188,3,527,0,1,0.8965517,0,3,3,0,46.00808
6148393500,157475523,4,0,23,37,4,308,0,0,0.9310345,4,6,5,0,82.0509
6148393500,111114687,2,6,18,45,6,312,0,0,0.6896552,9,2,1,0,30.801563
6148393500,41231571,2,6,7,145,6,333,0,0,0.6,0,1,1,0,35.40561
6148393500,12231202,4,4,10,211,7,415,0,0,0.93333334,2,3,12,0,38.308594
6148393500,412753955,3,3,6,407,6,656,0,0,0.53333336,0,1,0,0,7.850693
6148393500,18180970,4,8,7,34,4,258,0,0,0.73333335,3,7,2,1,93.03519
6148393500,94049589,2,8,7,46,2,259,0,0,0.6,11,8,1,0,21.647987
6147266320,81306398,2,7,13,36,4,223,0,0,0.75,13,1,2,0,106.00685
6147266320,85937380,4,4,7,234,20,444,0,0,0.55,1,2,5,0,49.087185
6147266320,86822085,8,3,5,553,8,776,4,0,0.65,0,0,4,0,8.317261
6147266320,105045291,3,5,13,88,0,295,0,1,0.8,5,1,10,0,18.802856
6147266320,117956848,3,3,8,186,8,345,0,0,0.5,0,0,1,1,35.618896
6147266320,41231571,5,4,10,231,4,474,5,1,0.6666667,1,1,5,0,27.645708
6147266320,12231202,3,4,10,211,2,432,0,0,0.5714286,2,2,11,0,45.03603
6147266320,412753955,7,2,6,538,6,786,4,0,0.61904764,0,3,8,0,40.643356
6147266320,18180970,2,5,10,170,3,399,1,0,0.52380955,2,5,2,0,59.59317
6147266320,94049589,4,5,6,64,0,344,0,0,0.42857143,14,9,4,0,46.774494
6147149348,81306398,1,1,13,35,0,286,0,0,0.7777778,8,1,4,1,0.0
6147149348,117956848,2,0,10,204,9,506,0,1,0.6666667,0,1,4,0,0.0
6147149348,85937380,4,0,6,178,9,486,0,0,0.5555556,2,1,13,0,11.659668
6147149348,105045291,4,2,9,58,4,356,0,0,0.7222222,4,9,1,0,2.8095703
6147149348,86822085,7,0,9,343,7,745,5,1,0.8888889,0,0,2,0,28.012207
6147149348,41231571,0,8,1,127,8,311,0,0,0.33333334,0,1,1,0,0.0
6147149348,12231202,1,2,0,210,9,428,0,0,0.33333334,1,2,7,0,2.5327148
6147149348,412753955,0,1,1,297,5,554,0,0,0.33333334,1,3,2,0,15.253724
6147149348,18180970,0,3,0,43,2,205,0,0,0.0,4,0,2,0,33.929123
6147149348,94049589,2,4,0,40,0,210,0,0,0.6666667,7,9,1,0,0.23327637
6145563784,145065875,2,5,5,40,4,213,0,0,0.7777778,3,0,2,0,98.98596
6145563784,858106446,2,4,5,314,0,529,0,0,0.6666667,0,0,7,0,45.85104
6145563784,11550182,0,11,4,33,1,225,1,0,0.44444445,14,0,1,0,0.0
6145563784,123787524,2,4,4,218,17,430,1,0,0.5555556,0,0,2,0,38.968628
6145563784,155162307,3,3,1,331,23,546,1,0,0.44444445,0,0,3,0,26.15598
6145563784,41231571,3,2,19,128,2,379,0,0,0.8148148,0,1,6,1,54.32213
6145563784,12231202,7,0,13,324,4,624,5,0,0.7407407,2,4,17,0,0.0
6145563784,412753955,8,3,7,335,2,864,2,1,0.5555556,0,2,3,0,36.481495
6145563784,18180970,6,1,14,134,1,463,0,0,0.7407407,3,6,1,0,17.559814
6145563784,94049589,3,4,16,34,1,289,1,0,0.7037037,12,2,6,0,27.493774
6145444650,145065875,2,6,3,79,1,278,0,0,0.2777778,3,1,3,1,33.899242
6145444650,858106446,7,4,3,349,17,630,4,0,0.5555556,1,2,9,0,51.113968
6145444650,11550182,1,12,9,26,1,273,0,0,0.5555556,13,0,4,0,74.92648
6145444650,123787524,1,5,8,164,12,366,0,0,0.5,0,1,2,0,48.045574
6145444650,155162307,6,4,8,280,10,522,1,0,0.7777778,0,0,7,0,1.7662354
6145444650,41231571,4,3,20,172,4,435,2,0,0.7741935,0,3,1,0,33.186474
6145444650,12231202,13,1,7,252,7,557,3,0,0.6451613,1,0,12,0,75.16122
6145444650,412753955,8,3,10,310,4,644,2,1,0.58064514,0,5,3,0,19.280764
6145444650,18180970,0,7,18,112,1,354,0,1,0.58064514,3,8,1,0,0.0
6145444650,94049589,6,4,15,74,0,353,0,0,0.67741936,13,7,2,0,19.534853
6050732096,41231571,2,6,9,147,1,333,1,0,0.71428573,0,3,1,0,22.314186
6050732096,12231202,7,4,4,338,15,560,0,1,0.78571427,2,3,10,0,0.0
6050732096,412753955,2,3,3,314,26,537,0,0,0.35714287,0,0,3,0,13.610201
6050732096,18180970,3,3,6,71,13,306,0,0,0.64285713,4,1,5,0,29.372698
6050732096,94049589,0,2,10,41,2,233,0,0,0.71428573,9,5,2,0,21.590282
6050732096,184950344,1,3,13,159,1,567,0,0,0.7777778,0,2,1,0,25.870522
6050732096,94281932,3,2,11,325,6,632,3,0,0.7777778,2,1,8,0,36.59369
6050732096,136829091,1,2,14,33,1,262,0,0,0.8333333,10,2,2,1,21.439634
6050732096,121404228,3,6,6,33,4,233,0,0,0.5,5,4,2,0,55.878155
6050732096,375507918,10,1,6,436,32,792,2,1,0.8888889,0,3,8,0,25.655033
6050625911,184950344,4,3,5,216,7,455,0,0,0.4090909,0,2,8,0,0.0
6050625911,94281932,7,0,11,236,12,749,0,0,0.77272725,1,3,11,0,14.962726
6050625911,136829091,5,2,15,19,4,313,0,0,0.90909094,10,0,1,0,9.647705
6050625911,121404228,5,6,10,66,3,321,0,0,0.6818182,4,5,4,0,20.972239
6050625911,375507918,1,2,10,327,7,607,3,1,0.5,1,1,4,0,20.39246
6050625911,41231571,1,8,5,188,5,317,0,0,0.46153846,0,0,0,0,8.702832
6050625911,12231202,4,3,3,272,12,401,1,0,0.53846157,2,1,8,0,18.188354
6050625911,412753955,4,4,2,337,5,560,0,0,0.46153846,0,1,1,1,5.51875
6050625911,18180970,2,3,5,33,3,220,0,0,0.53846157,7,11,5,0,76.22516
6050625911,94049589,2,4,8,69,1,252,1,0,0.7692308,6,2,1,0,15.05127
6049652918,41231571,6,6,15,185,3,535,1,0,0.6451613,0,3,1,0,27.49265
6049652918,12231202,5,6,14,267,6,467,3,1,0.61290324,1,2,12,1,57.55605
