account_id,name,games_played,wins,team_id,role,fantasy_role,at_ti
54580962,Insania,869,494,2163,5,3,1
152962063,m1CKe,864,492,2163,1,1,1
77490514,Boxi,831,476,2163,4,3,1
73562326,zai,432,265,2163,3,1,1
201358612,Nisha,235,152,2163,2,2,1
91730177,Seleri,463,289,8599101,5,3,1
97590558,Ace ♠,463,289,8599101,3,1,1
16497807,tOfu,462,289,8599101,4,3,1
116934015,dyrachyo,453,284,8599101,1,1,1
221666230,Quinn,292,192,8599101,2,2,1
100058342,skiter,488,295,8291895,1,1,1
86698277,33,482,295,8291895,3,1,1
10366616,Sneyking,472,288,8291895,5,3,1
94786276,Nine,470,287,8291895,4,2,1
103735745,Saksa,271,174,8291895,4,3,0
40547474,Aui_2000,31,13,8291895,0,,0
94054712,Topson,17,10,8291895,2,2,1
165564598,MieRo`,307,177,7422789,3,1,1
858106446,kiyotaka,269,150,7422789,2,2,1
161839895,Antares,269,150,7422789,4,3,1
134556694,Solo,243,135,7422789,5,3,1
132851371,RAMZES666,201,112,7422789,1,1,1
93552791,Nofear,7,1,7422789,0,,0
117089283,Panda,237,131,8255756,5,3,1
153836240,C.smile <,237,131,8255756,2,2,1
339235645,Pakazs,237,131,8255756,1,1,1
155332459,Matthew,237,131,8255756,4,3,1
292921272,Wisper,237,131,8255756,3,1,1
930586713,mouzvaa,16,3,8255756,0,,0
111114687,WhyouSm1Le,681,454,15,5,3,1
173978074,NothingToSay,642,429,15,2,2,1
320252024,shiro,173,103,15,1,1,1
150961567,planet,173,103,15,4,3,1
145957968,niu,95,56,15,3,1,1
86745912,天鸽,1667,1059,39,1,1,1
25907144,Cr1t-,1255,782,39,4,3,1
94155156,Fly,849,533,39,5,3,1
154715080,Abed,489,312,39,2,2,1
126212866,SaberLight,212,127,39,3,1,1
301750126,Mikoto,358,212,8597976,2,2,1
375507918,23,324,189,8597976,1,1,1
193815691,Q,309,185,8597976,4,3,1
101259972,Oli~,187,106,8597976,5,3,1
100471531,Jabz,187,106,8597976,3,1,1
88933594,Forev,1,1,8597976,0,,0
157989498,Scofield,438,235,8254400,4,3,1
119631156,stingeR,435,234,8254400,5,3,1
352545711,DarkMago♡,203,106,8254400,2,2,1
408729743,Sacred,203,106,8254400,3,1,1
1171243748,JimPark,84,40,8254400,1,1,1
113331514,Miposhka,597,380,7119388,5,3,1
302214028,Collapse,597,380,7119388,3,1,1
321580662,Yatoro雨,597,380,7119388,1,1,1
256156323,Mira,569,364,7119388,4,3,1
106305042,Larl,245,153,7119388,2,2,1
238239590,Bryle,474,279,8260983,2,2,1
97658618,Timado,474,279,8260983,1,1,1
38628747,MoonMeander,300,189,8260983,0,,0
346412363,Ari,189,98,8260983,4,3,1
184620877,kasane,184,94,8260983,3,1,1
136829091,Whitemon,174,90,8260983,5,3,1
124801257,Nightfall,183,113,8255888,1,1,1
317880638,Save-,183,113,8255888,4,3,1
480412663,gpk~,183,113,8255888,2,2,1
431770905,TORONTOTOKYO,183,113,8255888,5,3,1
5150808,fn`,178,84,8255888,0,,0
331855530,Pure~,162,104,8255888,3,1,1
84429681,Moo,213,123,8728920,3,1,1
126238768,Gunnar,211,121,8728920,2,2,1
87063175,Lelis,119,68,8728920,4,3,1
81475303,Yamsun,119,66,8728920,5,3,1
50828662,ZFreek,92,55,8728920,0,,0
164685175,K1 tqmD,11,9,8728920,1,1,1
84853828,Kingrd,335,199,1061269,4,3,1
81306398,KJ,232,139,1061269,5,3,1
86822085,Costabile,156,93,1061269,1,1,1
107579895,fcr,121,84,1061269,3,1,1
131303632,4nalog <01,80,57,1061269,2,2,1
186837494,Mjz,211,126,7391077,5,3,1
155162307,Knight~,182,117,7391077,1,1,1
308163407,ILICH-,182,117,7391077,3,1,1
383867949,SLATEM$,115,80,7391077,2,2,1
85696663,n1ght,95,67,7391077,4,3,1
127565532,Fishman,370,204,8605863,5,3,1
196878136,Kataomi`,370,204,8605863,4,3,1
96803083,Stormstormer,357,199,8605863,2,2,1
171262902,医者watson`,160,73,8605863,1,1,1
152545459,Gabbi,19,11,8605863,3,1,1
140297552,No!ob™,216,137,8894818,2,2,1
152168157,OmaR,216,137,8894818,4,3,1
320219866,kaori,215,137,8894818,5,3,1
96183976,TA2000,204,134,8894818,1,1,1
183719386,AMMAR_THE_F,56,38,8894818,0,,0
140288368,Tobi,23,11,8894818,3,1,1
195108598,Noticed,124,63,8724984,3,1,1
123023873,squad1x,124,63,8724984,2,2,1
145065875,sayuw,124,63,8724984,4,3,1
172099728,Kiritych~,77,41,8724984,1,1,1
94049589,Fng,77,41,8724984,5,3,1
165671428,Koma`,8,3,8724984,0,,0
185908355,Lou,166,105,8574561,1,1,1
158847773,天命,100,65,8574561,5,3,1
189666416,928,95,49,8574561,0,,0
381714118,AYuNiD,86,42,8574561,0,,0
106863163,Somnus,56,32,8574561,2,2,1
101695162,fy,56,32,8574561,4,3,1
94738847,chalice,56,32,8574561,3,1,1
147488585,凤栖梧,21,8,8574561,0,,0
134711350,Dstones-,11,3,8574561,0,,0
119576842,- 米克 -,474,266,8244493,4,3,1
116585378,MidOne,392,222,8244493,1,1,1
184138153,Masaros,32,19,8244493,3,1,1
148526973,Jaunuel,28,17,8244493,5,3,1
106573901,No[o]ne-,11,9,8244493,2,2,1
