Match,Date,League,Opponent,Result,Team_ID
6154675285,27 Aug 2021,13404,T1,Loss,111474
6154570036,27 Aug 2021,13404,T1,Loss,111474
6154455603,27 Aug 2021,13404,T1,Win,111474
6150376434,24 Aug 2021,13404,Team Liquid,Loss,111474
6150275324,24 Aug 2021,13404,Team Liquid,Win,111474
6149140000,23 Aug 2021,13404,beastcoast,Loss,111474
6149030060,23 Aug 2021,13404,beastcoast,Win,111474
6148475456,23 Aug 2021,13404,PSG.LGD,Loss,111474
6148393500,23 Aug 2021,13404,PSG.LGD,Loss,111474
6147266320,22 Aug 2021,13404,SG esports,Win,111474
6147149348,22 Aug 2021,13404,SG esports,Loss,111474
6145563784,21 Aug 2021,13404,Team Empire,Win,111474
6145444650,21 Aug 2021,13404,Team Empire,Win,111474
6050732096,20 Jun 2021,13228,T1,Loss,111474
6050625911,20 Jun 2021,13228,T1,Loss,111474
6049652918,19 Jun 2021,13228,OG,Win,111474
6049557684,19 Jun 2021,13228,OG,Win,111474
6049053288,19 Jun 2021,13228,ViKin.gg,Win,111474
6048938116,19 Jun 2021,13228,ViKin.gg,Win,111474
6047550708,18 Jun 2021,13228,Virtus.pro,Loss,111474
6047454799,18 Jun 2021,13228,Virtus.pro,Win,111474
6047370399,18 Jun 2021,13228,Virtus.pro,Loss,111474
6045131188,16 Jun 2021,13228,Team Secret,Win,111474
6045050854,16 Jun 2021,13228,Team Secret,Win,111474
6044650765,16 Jun 2021,13228,Team Unique,Win,111474
6044541398,16 Jun 2021,13228,Team Unique,Win,111474
6035690975,10 Jun 2021,12964,Team Spirit,Loss,111474
6035584181,10 Jun 2021,12964,Team Spirit,Win,111474
6035455715,10 Jun 2021,12964,Team Spirit,Loss,111474
6034022746,09 Jun 2021,12964,PSG.LGD,Loss,111474
6033930417,09 Jun 2021,12964,PSG.LGD,Loss,111474
5995718819,15 May 2021,13114,Hellbear Smashers,Win,111474
5995625596,15 May 2021,13114,Hellbear Smashers,Win,111474
5989931382,11 May 2021,13114,Tundra Esports,Win,111474
5989881522,11 May 2021,13114,Tundra Esports,Win,111474
5989792474,11 May 2021,13114,Tundra Esports,Loss,111474
5979186071,05 May 2021,13114,Brame,Loss,111474
5979128923,04 May 2021,13114,Brame,Win,111474
5979057906,04 May 2021,13114,Brame,Loss,111474
5969325268,28 Apr 2021,13114,Team Secret,Win,111474
5969233851,28 Apr 2021,13114,Team Secret,Loss,111474
5969131707,28 Apr 2021,13114,Team Secret,Win,111474
