team_id,name,tag
8599357,Marci,Marci
8598805,Coomin to California ,Cal
8507465,Stratyk Gaming,STK
8598332,Won't hurt to try,WHTT
8223827,ChillOut,ChillOut
8599297,team 1,team1
8084200,Nebula,NBLA
8583224,7:3,7:3
8598955,Team Nara,NARA
6020720,DuiYouNe,DYN
3546438,WHATEVER,W
8599781,flower power,FP
8230115,5ManMidas,5mm
8598406,Dai dream team,
8598364,Typical NA,
8599975,Executioners,EXT
8501711,Sesamii's Fanclub,sess
8205424,The Cut,TC
5020794,BLUE PIKACHU,BP
8081301,Typical NA ,TNA
8475680,Dog Owners,Owners
8598424,Karat Patrol,KP
8599668,Na enjoyers,NA
8606828,KBU.US,KBU.US
8261882,felt,felt
8599976,every game is GRIEFED,egG
8604954,DogChamp,Dog
8591029,DD GAMING,DD
8261981,WINNING IS MY PASSION,WIMP
8501424,1 Courier 5 Cores,1C5C
8598380,Head Bonk,Bonk
8262639,Electronic Boys,eboy
8599009,Tarzan Gang,Tarzan
8326341,HellRaisins,HR
7938599,Hollyhood,HH
8599839,ExodiA,EXODIA
8581426,Team Magnus,TM
8607159,5RATFORCESTAFF,5RF
8591348,GachiInternational,GI
8597509,Teletubbies,
8406582,Don't Be A Cook,DBAC
7890543,PSGS,PSGS
2121913,Lotus Infinity,Lotus
911552,ImminentDestruction_,|D|
8591044,Mental Health Matters,MHM
8549390,UCLA ESPORTS GOLD,UCLA
8598773,Dumbpuck,PUCK
8469113,Inverse Datong,INV
7626304,SAND KING GÓMEZ,SKG
8598377,Legalize Potm,LP
8590460,Black Ice,BI
2891290,Teamwork Makes the Dream Work,TWDW
8359891,Eevee,EV
8124688,LBZS,LBZS
15,PSG.LGD,PSG.LGD
4,EHOME,EHOME
5,INVICTUS GAMING,IG
6209166,Team Aster,Aster
8118983,phoenix gaming,phoenix
6209804,Royal Never Give Up,RNG
726228,Vici Gaming,VG
2163,Team Liquid,Liquid
8599101,Gaimin Gladiators,GG
8291895,Tundra Esports,Tundra
2586976,OG,OG
8598999,Coolguys,COOL
1838315,Team Secret,Secret
7554697,Nigma Galaxy,NGX
111474,Alliance,Alliance
8272699,Simply TOOBASED,2B
8376426,Wildcard Gaming,WC
7390454,Quincy Crew,QCY
8260983,TSM FTX,TSM FTX
7819028,4 Zoomers,4Zs
39,Evil Geniuses,EG
8180753,Arkosh Gaming,ARKOSH
8260932,Eternity,Eternity
7407260,Team Saiyan,TSaiyin
8343637,Digital Gaming,Digital
8574561,Ybb gaming,Ybb
2399214,,Monstro
8583296,Artist Gaming,
8580379,WhiteGive,wg
8435977,Red Flower,
8607315,NO MAGNUS,
8607303,G3 gaming,
3620616,R.Y Gaming,R.Y
6902721, ZCG,
8261500,Xtreme  Gaming,XG
8582076,Dandelion Esports Club,DEC
5530084,Silmarils,
7356881,SHENZHEN,SZ
8582706,TRÄUME,
8606967,GeFans,GF
6609398,Whispers,Whispers
8562836,Team Pirates,TP
8126118,,
7453020,Aster.Aries,Aries
7700071,Team Miracle,Lucky
8582763,FBG-,FBG GAMING
8574500,Mdy,mdy
7577242,ND,
8544583,数据不加密，回家扫垃圾,PSG.LGD
8126892,Team Magma,Magma
1240340,DARKNESS S,Ds
8591706,YYGQQ,
8599699,Slovakia Rejects,SVK > CZE
8549249,Wisła All in! Games,WK
8599808,KOKOTI,KKT
8598757,The Brood,TB
8550575,Yo I just wish,Čo
8599698,Level two,LvlTwo
8599005,Team Banane,TB
8599287,BIG BLACK HORSE NO.1,BBH
8509628,CSU ASE,CSU-ASE
8344760,Team Bald Reborn,Tb
8599326,Almost missed it,AMI
8598169,One More Reverse,OMR
8298349,Tuck E-Sports,Tuck
8599759,Budget Norf,SKNORF
8591484,Hippomaniacs,HM
8318683,IVY,IVY
8599251,No seyokalash,NSK
8495317,Maze Armentum,MAZE
7300277,Monaspa,MonaspA
8605863,Entity,Entity
8599638,Team Spaghett,TSPG
8429237,Boomer Animals,BA
8599850,SkullBashers,SkuLL
8390848,Into The Breach,ITB
8113549,Hippomaniacs,HM
8519698,RadnickiEsport,RDNK
8127883,Granny's Secret,GS.ISR
8343488,Ghost Frogs,GF
8600142,CZECH KOALAS,CK
8590792,Funky Unicorns,FUnicorns
8112124,Brame,BR
8598715,Into The Breach,ITB
8590822,One More,OME
8598213,Make B Dream,
8463436,Level One,LvlOne
8599217,Slot Seekers,sS.
8598631,Dodo Hunters,DH
8598062,DotaEnjoyers,Enjoyer
8494848,Winter Bear,WB
2382482,Team Mald,TI
8261397,No Bounty Hunter,NBH
7266156,Timebomb,Timebomb
8519653,Euronics Gaming,ESG
8263785,Grdelica,GRD
8284776,KZ TEAM,KZ
8599201,Sexy BABALAR,SB.
8597391,DGG Esports,DGG
8742253,ФЕРЗИ,ФЕРЗИ
8769466,EZ KATKA,EZ 
7422789,HellRaisers,HR
1883502,Virtus.pro,VP
8545488,cybercats,CyberC
8620831,Rune Eaters,RE
8741219,cyxariki,cyxariki
8359896,B8,B8
8588969,HYDRA,HYDRA
8733748,HF,HF
8496581,KHAN,KHAN
8741396,YNT,YNT
8713465,Nova,Nova
8732747,LUNA GAMING,LUNA
8714982,Chipsbl,
46,Team Empire,Empire
8661138,chekoldyriki,CH3LD
8533462,Galactic Aliens,GA.SQUAD
5014799,Nemiga Gaming,Nemiga
8724829,Rune Eaters,RE
8496219,Khan esports,Khan
8125069,qwerty,qwe
8745306,SURIM PRASAD,sp
8261648,PuckChamp,PC
8589278,B8,B8
8685387,No Monkey Business,NMB
8261818,Hellbear Smashers,SMASH
7119388,Team Spirit,TSpirit
8255888,Mind Games,MG
8772854,Arcred.int,Arcred
8616073,NO SORRY,NS
8310936,Wayfarers,Way
8747056,Virtus.pro,Virtus.pro
8681412,Yet Another Team,YNT
7118032,Winstrike Team,Winstrike
8352473,Fantastic Five,F5
8598633,Pari Parni,PPARNI
8428246,KEKWait,KEKWait
36,Natus Vincere,NAVI
8733722,11Monkeyz,11M
8722443,Ooredoo Thunders,OT
8376696,One Move,Move
8575071,NoMarci,NoMarci
8261774,V-Gaming,V
8421850,X3,X3
8169775,Lilgun ,lg
8680909,ALIS VENTORUS,AVE
8231902,Ka4kanarskie cyxariki,CYXARIKI
8261234,CREEPWAVE,CREEP
8721219,BetBoom Team,BetBoom
8724984,Outsiders,Outsider
8741446,EU Rejects,EU
8204562,Spider Pigzs,SP
8525778,Polaris Esports,Polaris
8375259,Coritiba Esports,Coritiba
8261554,Army Geniuses,AG
8214850,T1,T1
8271508,DogChamp,Dog
8469159,KOBOLDS,KB
8244493,Team SMG,SMG
8482620,M Y,M Y
7119077,Tempest,Tempest
8118197,Infinity,Infinity
8254145,Execration,XctN
7653080,Yangon Galacticos,YG
8571960,Team Orca,Orca
8131728,Hokori,Hokori
8261197,Motivate.Trust Gaming,MTG
7391077,Thunder Awaken,THUNDER
8360138,Neon Esports,neon
2672298,Infamous U.esports.,Inf.U
8655309,DGG,DGG
7783554,Sverhrazum,SRZ
8643077,FromB,FB
7567059,UCL Gaming Society,UCL
6878393,Casual Gamers,CG
8687717,goonsquad,GS
8685893,TeamGladiators ,TG|
1729900,Protos,Protos
8680625,Batman riders,BAT
8687576,Slovakia Rejects,Geniy
166,Scenario,
8690622,DOTA SHIKS,D6
8687691,Finest.gg,
8345961,Die Roller,brmm
8687666,TideWithStout,tws
8690621,Ekipa e Kosoves,KS
8690708,1. EC Mainhattan,1. ECF
8690093,PRIMAL BEASTMASTER,PB
8687202,11Monkeyz,11M
8519148,eSport Rhein-Neckar,ERN
8690129,One and Done,OaD
8656726,Gen of Miracles,GoM
7732977,BOOM Esports,BOOM
350190,Fnatic,Fnatic
8572181,Nigma Galaxy SEA,NGXSea
2640025,iG.Vitality,iG.V
8692881,Crocodile,
1520578,CDEC ,CDEC
7817577,OrTaNic,OTN
8690729,LT Gaming,LT
8691906,玫瑰少年,
6877462,VTI-GAMING.M,
8684784,Gamebred Esports,GE
8634503,Team Tsunami,Tsunami
8533517,Entity7,Enty7
8590538,Mad Kings Esports,mk
7682624,Shark Boys,SharkB-
8534805,The Apes E-Sport,APES
8261114,SPAWN.496,SPAWN.496
1061269,Wolf Team,WT
8668460,RSG,RSG
8550343,Dreamers,DreamerS
8680612,Dreamers Esports,DrE
8442622,Interitus,iS
8580985,Team Renewal,RNWL
8686363,Stratyk Gaming,Stratyk
8680491,Crimson,
8254112,Omega Gaming,Ωmega
8680965,ZONA ZERO,ZZ
8606283,FLUX,FLUX
